Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status
22,Male,Graduate,UK,6.2,Twitter,1.0,6.3,5,Single
20,Female,Undergraduate,Bangladesh,4.9,Instagram,1.0,6.4,5,Single
20,Female,Undergraduate,Australia,4.1,Instagram,0.0,7.7,7,Single
21,Male,Graduate,India,5.9,WhatsApp,1.0,6.4,5,In Relationship
22,Male,Graduate,Canada,3.6,TikTok,1.0,8.6,6,Single
22,Male,Graduate,India,4.4,Facebook,0.0,8.8,7,In Relationship
20,Female,Undergraduate,Spain,3.5,TikTok,1.0,8.4,6,Single
21,Male,Graduate,Canada,3.9,Instagram,1.0,8.3,6,Single
22,Male,Graduate,Nepal,4.7,TikTok,0.0,7.3,7,Single
22,Male,Graduate,Maldives,4.7,TikTok,1.0,4.5,6,In Relationship
21,Male,Graduate,India,6.1,WhatsApp,1.0,6.2,5,In Relationship
20,Female,Undergraduate,Italy,4.7,TikTok,0.0,7.2,7,In Relationship
19,Male,Undergraduate,Bangladesh,4.9,TikTok,1.0,6.7,5,Single
23,Male,Graduate,Turkey,6.8,Instagram,1.0,6.0,5,Single
22,Male,Graduate,Russia,4.6,VKontakte,0.0,7.5,7,In Relationship
22,Male,Graduate,Bulgaria,2.8,LinkedIn,0.0,7.2,8,Single
21,Male,Graduate,Poland,3.9,Facebook,0.0,8.2,7,Single
19,Female,Undergraduate,USA,6.6,TikTok,1.0,5.6,4,In Relationship
21,Male,Undergraduate,Switzerland,4.5,Facebook,0.0,7.3,7,In Relationship
22,Male,Graduate,India,7.2,Facebook,1.0,5.7,4,Single
22,Male,Graduate,Canada,4.3,TikTok,1.0,7.9,7,Single
21,Female,Graduate,India,4.8,Instagram,1.0,4.8,6,In Relationship
20,Female,Undergraduate,South Korea,5.0,KakaoTalk,1.0,6.8,6,Single
23,Male,Graduate,Finland,4.3,Instagram,0.0,7.5,7,In Relationship
19,Female,Undergraduate,Spain,3.8,Instagram,1.0,8.1,6,Single
22,Male,Graduate,Russia,4.1,VKontakte,0.0,7.9,7,In Relationship
22,Male,Graduate,Turkey,4.2,TikTok,1.0,8.0,6,Single
19,Female,Undergraduate,Nepal,6.4,TikTok,1.0,4.2,6,Single
19,Female,Undergraduate,Ireland,3.4,Instagram,1.0,8.5,7,Single
21,Male,Graduate,Maldives,4.6,TikTok,1.0,4.3,6,In Relationship
21,Female,Undergraduate,India,5.8,TikTok,1.0,5.9,6,In Relationship
21,Male,Graduate,China,4.3,WeChat,0.0,8.0,7,In Relationship
22,Male,Graduate,Germany,4.0,Facebook,0.0,7.6,8,In Relationship
20,Female,Undergraduate,Australia,4.4,Instagram,0.0,7.4,7,Single
19,Female,Undergraduate,Maldives,4.8,Instagram,0.0,7.2,8,Single
21,Female,Undergraduate,UK,6.3,TikTok,1.0,6.4,5,Single
24,Male,Graduate,Denmark,4.5,Twitter,0.0,7.3,7,In Relationship
21,Male,Graduate,India,6.3,WhatsApp,1.0,6.0,5,In Relationship
21,Female,Undergraduate,USA,5.3,Twitter,1.0,6.8,6,In Relationship
20,Female,Undergraduate,Switzerland,4.6,TikTok,0.0,7.2,7,In Relationship
21,Male,Graduate,Poland,3.7,Facebook,0.0,8.4,7,Single
22,Male,Graduate,Canada,4.4,TikTok,1.0,7.8,6,Single
20,Female,Undergraduate,France,3.8,Instagram,0.0,8.2,7,In Relationship
20,Female,Undergraduate,Australia,4.0,Facebook,0.0,7.8,7,In Relationship
22,Female,Graduate,Pakistan,5.5,Instagram,1.0,6.0,5,Single
20,Female,Undergraduate,Mexico,6.2,Facebook,1.0,6.3,5,Single
20,Female,Undergraduate,Maldives,4.0,Instagram,0.0,8.0,8,In Relationship
24,Female,Graduate,India,7.0,TikTok,1.0,5.8,4,Single
20,Female,Undergraduate,Australia,4.3,Instagram,0.0,7.5,7,Single
20,Female,Undergraduate,Nepal,6.3,TikTok,1.0,4.4,6,Single
22,Male,Graduate,Canada,4.8,TikTok,1.0,7.4,6,Single
19,Female,Undergraduate,Singapore,5.5,TikTok,1.0,6.6,6,Single
19,Female,Undergraduate,Japan,3.4,LINE,0.0,8.2,8,Single
20,Male,Undergraduate,Italy,4.6,Facebook,0.0,7.2,7,In Relationship
23,Male,Graduate,Canada,5.7,TikTok,1.0,6.6,6,Single
20,Female,Undergraduate,Estonia,4.5,Instagram,1.0,5.9,6,Complicated
20,Male,Undergraduate,Bangladesh,6.1,Instagram,1.0,6.2,5,Single
21,Male,Undergraduate,Finland,4.3,Instagram,0.0,7.5,7,In Relationship
20,Female,Undergraduate,India,7.1,TikTok,1.0,5.8,4,Single
20,Female,Undergraduate,Australia,4.6,Instagram,0.0,7.3,7,Single
20,Female,Undergraduate,Bangladesh,4.7,Instagram,1.0,6.8,5,Single
19,Female,Undergraduate,India,6.8,WhatsApp,1.0,6.0,5,In Relationship
18,Male,High School,Argentina,5.5,TikTok,1.0,5.3,5,Single
19,Female,Undergraduate,Netherlands,3.5,Instagram,0.0,8.5,8,Single
20,Female,Undergraduate,Switzerland,3.6,Instagram,0.0,8.2,8,Single
21,Female,Graduate,Pakistan,5.2,Instagram,1.0,6.4,5,In Relationship
21,Male,Graduate,China,3.9,WeChat,0.0,8.4,7,In Relationship
21,Male,Graduate,Mexico,5.9,WhatsApp,1.0,6.3,6,Single
20,Male,Undergraduate,Spain,6.5,Facebook,1.0,6.2,5,Single
20,Male,Undergraduate,Nepal,4.5,Facebook,0.0,7.5,7,Single
22,Male,Graduate,Russia,3.7,VKontakte,0.0,8.3,7,In Relationship
20,Female,Undergraduate,Brazil,5.7,TikTok,1.0,6.8,6,Single
21,Male,Graduate,Canada,4.6,Instagram,1.0,7.6,7,Single
22,Male,Graduate,Bangladesh,5.1,Facebook,1.0,6.5,5,Single
21,Male,Graduate,Canada,4.5,Facebook,1.0,6.0,6,In Relationship
20,Female,Undergraduate,Japan,4.3,Twitter,0.0,7.5,8,Single
20,Female,Undergraduate,France,4.2,Instagram,0.0,7.8,7,In Relationship
21,Male,Graduate,Canada,4.9,Instagram,1.0,7.3,6,Single
19,Female,Undergraduate,Ireland,3.8,Instagram,1.0,8.1,7,Single
19,Female,Undergraduate,Canada,5.7,Instagram,1.0,6.6,6,Single
19,Female,High School,Ireland,6.1,Instagram,1.0,5.2,5,Complicated
21,Male,Graduate,UK,5.6,Facebook,1.0,6.6,6,In Relationship
19,Female,Undergraduate,China,5.7,WeChat,1.0,6.7,6,In Relationship
23,Female,Graduate,Chile,2.7,LinkedIn,0.0,7.1,8,Complicated
19,Female,Undergraduate,UAE,6.8,Instagram,1.0,6.2,5,In Relationship
21,Male,Graduate,China,4.5,WeChat,0.0,7.8,7,In Relationship
22,Male,Graduate,Denmark,3.9,Facebook,0.0,7.9,8,In Relationship
22,Male,Graduate,India,6.6,WhatsApp,1.0,5.7,5,In Relationship
18,Male,High School,Kuwait,5.7,Snapchat,1.0,5.3,5,In Relationship
22,Male,Graduate,Japan,4.4,Twitter,0.0,7.4,8,Single
20,Female,Undergraduate,Spain,4.7,TikTok,1.0,7.2,6,Single
19,Male,Undergraduate,Sri Lanka,4.9,TikTok,1.0,4.9,6,Single
21,Male,Graduate,UK,5.7,Instagram,1.0,6.4,6,Single
20,Female,Undergraduate,Ireland,4.1,TikTok,1.0,7.8,7,Single
21,Male,Graduate,Denmark,3.0,Facebook,0.0,8.8,8,In Relationship
22,Male,Graduate,India,7.4,WhatsApp,1.0,4.9,5,In Relationship
19,Female,Undergraduate,Brazil,5.6,WhatsApp,1.0,6.9,6,Single
21,Male,Graduate,Denmark,2.6,Facebook,0.0,9.2,8,In Relationship
20,Female,Undergraduate,Switzerland,3.2,Instagram,0.0,8.6,8,Single
20,Female,Undergraduate,Switzerland,2.8,Instagram,0.0,9.0,8,Single
21,Male,Graduate,Georgia,3.0,LinkedIn,0.0,7.1,8,In Relationship
21,Female,Undergraduate,Turkey,6.9,TikTok,1.0,6.1,5,Single
22,Male,Graduate,Denmark,2.3,Facebook,0.0,9.5,8,In Relationship
20,Female,Undergraduate,Australia,4.7,Facebook,0.0,7.4,7,In Relationship
20,Female,Undergraduate,South Korea,4.9,KakaoTalk,1.0,6.9,6,Single
19,Female,Undergraduate,Japan,2.7,LINE,0.0,8.9,8,Single
21,Male,Graduate,UK,5.5,Instagram,1.0,6.7,6,Single
21,Male,Graduate,Italy,4.9,TikTok,1.0,7.2,5,In Relationship
22,Male,Graduate,Venezuela,3.3,Facebook,0.0,6.7,7,In Relationship
19,Female,Undergraduate,USA,7.1,Instagram,1.0,5.0,4,Single
21,Male,Graduate,Denmark,3.8,Facebook,0.0,8.0,8,In Relationship
19,Female,Undergraduate,France,4.1,Instagram,0.0,7.9,7,In Relationship
20,Female,Undergraduate,Bangladesh,4.5,Instagram,1.0,7.2,5,Single
19,Female,Undergraduate,USA,6.5,Instagram,1.0,6.0,5,Single
21,Male,Graduate,Turkey,5.1,Instagram,1.0,7.1,6,Single
20,Female,Undergraduate,Philippines,4.8,Snapchat,1.0,5.7,6,In Relationship
23,Female,Graduate,USA,5.3,Twitter,1.0,6.8,6,In Relationship
19,Male,Undergraduate,Nepal,4.9,Facebook,0.0,7.1,7,Single
19,Female,Undergraduate,Bangladesh,4.6,Instagram,1.0,7.0,5,Single
19,Male,Undergraduate,Sri Lanka,5.3,TikTok,1.0,5.3,6,Single
22,Female,Graduate,Bahrain,2.8,LinkedIn,0.0,7.1,8,Complicated
20,Female,Undergraduate,Jamaica,4.9,Snapchat,1.0,5.6,6,Complicated
22,Male,Graduate,Canada,4.5,TikTok,1.0,7.7,7,Single
24,Male,Graduate,Malaysia,2.2,LinkedIn,0.0,7.4,8,Single
21,Male,Graduate,India,6.5,WhatsApp,1.0,5.8,5,In Relationship
19,Female,Undergraduate,Japan,3.2,LINE,0.0,8.4,8,Single
22,Female,Graduate,Denmark,4.6,Twitter,0.0,7.3,7,In Relationship
21,Male,Graduate,Pakistan,4.2,Instagram,1.0,7.3,5,In Relationship
20,Female,Undergraduate,Spain,4.5,TikTok,1.0,7.4,6,Single
22,Male,Graduate,Switzerland,4.5,Facebook,0.0,7.3,7,In Relationship
21,Male,Undergraduate,France,5.8,Instagram,1.0,6.7,6,Single
21,Male,Graduate,UK,5.0,Facebook,1.0,6.6,6,In Relationship
22,Male,Graduate,Ireland,5.8,Instagram,1.0,6.6,6,Single
21,Male,Graduate,New Zealand,4.6,Instagram,1.0,7.6,7,In Relationship
19,Female,High School,Thailand,5.9,Instagram,1.0,5.3,5,Complicated
22,Male,Graduate,Turkey,4.4,TikTok,1.0,7.8,6,Single
20,Female,Undergraduate,Singapore,4.4,TikTok,1.0,5.9,6,In Relationship
22,Male,Graduate,Germany,3.4,Instagram,0.0,8.1,8,Single
23,Female,Graduate,Canada,4.9,TikTok,0.0,7.3,7,In Relationship
22,Male,Graduate,Russia,4.5,VKontakte,0.0,7.4,7,In Relationship
19,Female,Undergraduate,USA,6.8,TikTok,1.0,5.3,4,In Relationship
19,Male,Undergraduate,Bangladesh,5.3,TikTok,1.0,6.3,5,Single
21,Male,Graduate,UK,5.1,Instagram,1.0,6.5,6,Single
22,Male,Graduate,Nepal,3.7,Facebook,0.0,8.3,7,Single
19,Male,Undergraduate,Nepal,3.9,TikTok,0.0,8.1,7,Single
20,Female,Undergraduate,Ireland,3.7,TikTok,1.0,8.2,7,Single
23,Male,Graduate,Denmark,3.8,Twitter,0.0,7.8,8,In Relationship
22,Male,Graduate,India,2.1,Twitter,0.0,7.5,8,Single
20,Female,Undergraduate,Brazil,5.8,Snapchat,1.0,6.0,6,In Relationship
23,Male,Graduate,Germany,1.5,LinkedIn,0.0,8.0,9,Single
20,Female,Undergraduate,USA,6.8,TikTok,1.0,5.5,5,In Relationship
22,Male,Graduate,Russia,3.9,VKontakte,0.0,8.1,7,In Relationship
19,Male,Undergraduate,Bangladesh,4.1,TikTok,1.0,7.5,5,Single
19,Female,Undergraduate,USA,6.7,Instagram,1.0,5.4,4,Single
20,Female,Undergraduate,India,5.4,Instagram,1.0,5.4,6,In Relationship
19,Male,Undergraduate,India,7.2,TikTok,1.0,5.7,4,Single
22,Female,Graduate,Italy,5.1,Twitter,0.0,7.1,7,In Relationship
22,Female,Graduate,India,5.8,Instagram,1.0,5.8,6,In Relationship
20,Female,Undergraduate,Sri Lanka,4.4,Facebook,0.0,8.5,7,Single
21,Male,Graduate,UK,5.8,TikTok,1.0,6.5,6,In Relationship
21,Male,Graduate,Italy,5.3,Instagram,1.0,6.8,5,Single
19,Female,Undergraduate,Singapore,5.1,TikTok,1.0,7.0,6,Single
20,Female,Undergraduate,Peru,5.5,TikTok,1.0,5.6,5,Single
22,Male,Graduate,Montenegro,2.9,Facebook,0.0,7.0,7,In Relationship
22,Male,Graduate,Germany,4.2,Facebook,0.0,7.8,7,In Relationship
22,Male,Graduate,Maldives,5.1,TikTok,1.0,5.3,6,In Relationship
20,Male,Undergraduate,Tajikistan,4.7,YouTube,1.0,5.9,6,Single
19,Female,High School,Ecuador,6.3,Instagram,1.0,5.2,5,Complicated
21,Male,Graduate,Mexico,6.9,WhatsApp,1.0,5.3,6,Single
22,Male,Graduate,Ireland,5.7,Twitter,1.0,6.8,6,Single
22,Male,Graduate,China,4.4,WeChat,0.0,7.9,7,In Relationship
21,Male,Undergraduate,UK,6.2,Facebook,1.0,6.3,5,Single
19,Female,Undergraduate,Ireland,5.5,TikTok,1.0,6.8,6,Single
20,Male,Undergraduate,UK,6.4,Facebook,1.0,6.2,5,Single
19,Female,Undergraduate,Bangladesh,4.8,Instagram,1.0,6.6,5,Single
19,Female,Undergraduate,France,3.3,Instagram,0.0,8.7,7,In Relationship
19,Female,Undergraduate,Bangladesh,4.4,Instagram,1.0,7.4,5,Single
21,Female,Undergraduate,Switzerland,4.2,Instagram,0.0,7.5,7,In Relationship
23,Male,Graduate,Switzerland,4.5,Facebook,0.0,7.3,7,In Relationship
22,Female,Graduate,Kyrgyzstan,2.9,Facebook,0.0,7.0,7,In Relationship
21,Male,Graduate,Italy,5.7,TikTok,1.0,6.5,5,In Relationship
21,Male,Graduate,Bangladesh,6.0,Facebook,1.0,5.8,5,In Relationship
21,Male,Graduate,Canada,4.2,Instagram,1.0,8.0,7,Single
19,Male,Undergraduate,Bangladesh,4.5,TikTok,1.0,7.1,5,Single
18,Male,High School,Indonesia,5.4,TikTok,1.0,5.4,5,Complicated
19,Female,Undergraduate,Singapore,5.7,TikTok,1.0,6.4,6,Single
24,Male,Graduate,Spain,6.6,TikTok,1.0,6.2,5,Single
22,Male,Graduate,New Zealand,4.7,Instagram,1.0,7.5,7,In Relationship
19,Female,Undergraduate,Brazil,6.2,WhatsApp,1.0,6.3,6,Single
20,Female,Undergraduate,France,3.6,Instagram,0.0,8.4,7,In Relationship
21,Female,Graduate,Lithuania,3.2,Facebook,0.0,6.8,7,In Relationship
20,Female,Undergraduate,Sri Lanka,4.2,Facebook,0.0,8.9,7,Single
21,Male,Undergraduate,Denmark,3.5,Facebook,0.0,6.7,7,Single
24,Male,Graduate,South Africa,2.3,LinkedIn,0.0,7.3,8,In Relationship
21,Male,Graduate,Poland,4.1,Facebook,0.0,8.0,7,Single
19,Female,Undergraduate,Spain,4.0,Instagram,1.0,7.9,6,Single
19,Female,Undergraduate,Nepal,5.8,TikTok,1.0,5.4,6,Single
24,Male,Graduate,Japan,4.3,Twitter,0.0,7.5,8,Single
22,Female,Graduate,Mexico,6.4,Facebook,1.0,6.2,5,Single
19,Female,High School,Costa Rica,5.7,Instagram,1.0,5.5,5,Single
22,Male,Graduate,Mexico,6.0,WhatsApp,1.0,6.2,6,Single
22,Female,Graduate,Russia,6.8,Instagram,1.0,5.9,4,Single
19,Male,Undergraduate,Colombia,4.8,Instagram,1.0,5.9,6,In Relationship
22,Male,Graduate,Mexico,6.3,Facebook,1.0,6.2,5,Single
22,Male,Graduate,Turkey,5.2,TikTok,1.0,7.0,6,Single
24,Male,Graduate,USA,5.6,Instagram,1.0,6.9,6,In Relationship
20,Female,Undergraduate,South Korea,4.5,KakaoTalk,1.0,7.3,6,In Relationship
19,Male,High School,Lebanon,5.8,YouTube,1.0,5.2,5,Complicated
19,Male,Undergraduate,Ukraine,4.9,TikTok,1.0,5.7,6,Complicated
20,Female,Undergraduate,Paraguay,4.7,TikTok,1.0,5.8,6,In Relationship
